epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.77699,1.17868,3.48668,1.46483,0.00317,0.75214,0.35739,0.25363,1.08687,3.83092,1.31723,0.00041675,0.00041675,0.00041675
2,15.1737,0.89548,2.71778,1.15359,0.00337,0.80769,0.50348,0.30038,1.17826,3.70434,1.35605,0.000953163,0.000953163,0.000953163
3,20.4011,0.97354,2.45206,1.23759,0.00392,0.92308,0.43645,0.2776,1.18474,3.59326,1.49234,0.00146757,0.00146757,0.00146757
4,26.1725,1.31838,2.55879,1.4363,0.00314,0.76923,0.24597,0.08779,2.10091,4.29507,2.44516,0.00156798,0.00156798,0.00156798
5,32.6937,1.11632,2.7482,1.40834,0.00315,0.75214,0.15792,0.0852,1.48994,3.95566,1.68027,0.00153497,0.00153497,0.00153497
6,38.8424,1.02256,2.32749,1.2411,0.75553,0.11111,0.29288,0.14795,1.53487,4.03706,1.81555,0.00150197,0.00150197,0.00150197
7,56.1633,1.1554,2.43474,1.34553,0.24468,0.32051,0.26912,0.12533,1.90731,4.49906,3.07714,0.00146896,0.00146896,0.00146896
8,67.2838,1.0141,2.09422,1.25505,0.56431,0.24786,0.24365,0.09705,1.83736,9.55431,3.26069,0.00143595,0.00143595,0.00143595
9,72.9394,0.96894,2.02673,1.26742,0.64086,0.2094,0.36866,0.19143,1.73161,10.3546,3.13684,0.00140295,0.00140295,0.00140295
10,78.4194,0.91132,2.03745,1.2049,0.29624,0.39316,0.18948,0.1014,1.86523,10.1426,3.3193,0.00136994,0.00136994,0.00136994
11,83.6778,0.97572,1.87963,1.21591,0.46277,0.37607,0.2342,0.1375,1.74166,12.5439,2.97115,0.00133693,0.00133693,0.00133693
12,88.9327,0.98429,1.89258,1.24081,0.42145,0.41132,0.28705,0.11729,1.74704,12.7789,3.21031,0.00130393,0.00130393,0.00130393
13,94.2796,0.93054,1.73188,1.16096,0.4156,0.31679,0.22863,0.13808,1.73082,6.4557,2.98782,0.00127092,0.00127092,0.00127092
14,99.6295,1.03042,1.79644,1.25647,0.5168,0.32051,0.22505,0.14613,1.74931,6.58475,2.25212,0.00123791,0.00123791,0.00123791
15,104.954,0.87254,1.60418,1.15751,0.51061,0.30342,0.22056,0.14765,1.6162,6.81364,2.72556,0.00120491,0.00120491,0.00120491
16,110.208,0.85679,1.63418,1.17611,0.45114,0.4497,0.28437,0.17016,1.45343,6.74865,2.51518,0.0011719,0.0011719,0.0011719
17,122.038,0.89435,1.73053,1.12958,0.4566,0.32051,0.2828,0.13872,1.44322,6.46417,2.11596,0.00113889,0.00113889,0.00113889
18,134.59,0.86403,1.53671,1.12803,0.53147,0.33761,0.30867,0.11613,1.45862,6.14779,1.86156,0.00110589,0.00110589,0.00110589
19,140.375,0.87556,1.51658,1.12096,0.47359,0.41453,0.35789,0.19329,1.39317,5.40915,1.85357,0.00107288,0.00107288,0.00107288
20,145.729,0.88467,1.508,1.16845,0.50701,0.35897,0.29589,0.15765,1.49591,5.03004,1.9263,0.00103987,0.00103987,0.00103987
21,151.417,0.85085,1.50679,1.13032,0.69681,0.41453,0.4242,0.27547,1.45619,4.64328,2.02457,0.00100687,0.00100687,0.00100687
22,176.113,0.81688,1.4586,1.08667,0.69725,0.34188,0.48537,0.32778,1.35435,4.88102,1.86544,0.000973861,0.000973861,0.000973861
23,187.301,0.79243,1.38442,1.13817,0.71827,0.38034,0.54304,0.35696,1.16917,4.64058,1.4853,0.000940855,0.000940855,0.000940855
24,204.944,0.76924,1.36302,1.06117,0.51178,0.52991,0.53274,0.38898,1.11271,3.85693,1.50061,0.000907848,0.000907848,0.000907848
25,245.723,0.68368,1.34797,1.03721,0.67963,0.5231,0.53034,0.38044,1.10943,3.31323,1.56945,0.000874842,0.000874842,0.000874842
26,251.636,0.75032,1.40121,1.08035,0.86288,0.50855,0.547,0.38211,1.17497,3.17718,1.52063,0.000841835,0.000841835,0.000841835
27,278.727,0.75443,1.26361,1.06454,0.76188,0.63533,0.59104,0.39388,1.09237,3.28844,1.4375,0.000808828,0.000808828,0.000808828
28,285.368,0.73616,1.30078,1.06553,0.75736,0.65984,0.6131,0.45734,1.01107,3.28938,1.39594,0.000775822,0.000775822,0.000775822
29,382.651,0.61965,1.1783,1.05793,0.63404,0.71368,0.56754,0.44899,0.99869,3.26336,1.38924,0.000742815,0.000742815,0.000742815
30,390.111,0.6609,1.19201,1.0337,0.66901,0.71368,0.60702,0.46229,0.96902,2.84971,1.41203,0.000709809,0.000709809,0.000709809
31,396.363,0.65486,1.11736,1.02406,0.69423,0.70604,0.61876,0.44427,1.00282,2.69901,1.40219,0.000676802,0.000676802,0.000676802
32,414.174,0.6976,1.16645,1.04435,0.66212,0.60256,0.57397,0.42246,1.00445,2.58987,1.37276,0.000643795,0.000643795,0.000643795
33,448.179,0.6324,1.11203,1.00105,0.6064,0.64901,0.57826,0.40322,0.99356,2.54131,1.34569,0.000610789,0.000610789,0.000610789
34,475.017,0.65651,1.07942,0.98543,0.62458,0.71368,0.56691,0.37347,1.06931,2.58267,1.39027,0.000577782,0.000577782,0.000577782
35,495.612,0.67204,1.17867,1.02481,0.65216,0.71368,0.59515,0.36807,1.11555,2.53361,1.44661,0.000544776,0.000544776,0.000544776
36,501.09,0.68205,1.0703,1.04078,0.67038,0.71368,0.5865,0.38056,1.11821,2.31977,1.48446,0.000511769,0.000511769,0.000511769
37,519.046,0.65548,1.07142,1.01661,0.80183,0.76505,0.66135,0.45864,1.06073,2.25452,1.39367,0.000478762,0.000478762,0.000478762
38,525.483,0.6076,1.0704,0.96895,0.80141,0.76923,0.65369,0.47973,0.95507,2.17946,1.29029,0.000445756,0.000445756,0.000445756
39,531.11,0.65745,1.04219,1.01958,0.83672,0.76923,0.65467,0.50398,0.89381,2.13643,1.23332,0.000412749,0.000412749,0.000412749
40,537.161,0.59748,1.10175,1.03841,0.87752,0.76923,0.7215,0.59104,0.8769,2.06091,1.21012,0.000379743,0.000379743,0.000379743
41,543.419,0.54774,1.43566,1.02541,0.894,0.76923,0.72838,0.60567,0.85223,1.95749,1.17173,0.000346736,0.000346736,0.000346736
42,549.113,0.59736,1.4205,1.04937,0.87777,0.76923,0.72623,0.60276,0.85342,1.93388,1.16261,0.000313729,0.000313729,0.000313729
43,554.978,0.57128,1.36753,1.02104,0.86397,0.76923,0.73101,0.60496,0.8464,1.98057,1.15918,0.000280723,0.000280723,0.000280723
44,588.086,0.57857,1.32046,1.03316,0.88384,0.71221,0.7327,0.61447,0.84099,2.05443,1.1539,0.000247716,0.000247716,0.000247716
45,593.871,0.54987,1.3048,1.0195,0.80412,0.76923,0.73458,0.6008,0.85613,2.07644,1.16247,0.00021471,0.00021471,0.00021471
46,617.228,0.56659,1.26956,1.04019,0.79916,0.76923,0.74312,0.60614,0.87691,2.08027,1.17558,0.000181703,0.000181703,0.000181703
47,622.734,0.5456,1.40097,0.98491,0.81038,0.76923,0.75125,0.61768,0.88008,2.07357,1.17471,0.000148696,0.000148696,0.000148696
48,638.552,0.55047,1.33653,1.00537,0.82629,0.76923,0.75244,0.62492,0.89544,2.02332,1.18335,0.00011569,0.00011569,0.00011569
49,652.302,0.5124,1.24472,0.99104,0.83687,0.75404,0.76482,0.62135,0.89022,1.97043,1.19248,8.26832e-05,8.26832e-05,8.26832e-05
50,678.144,0.58018,1.28597,0.98899,0.82324,0.76923,0.77731,0.63391,0.87465,1.93737,1.18981,4.96766e-05,4.96766e-05,4.96766e-05
