epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.416,1.17868,3.48668,1.46483,0.00317,0.75214,0.35739,0.25363,1.08687,3.83092,1.31723,0.00041675,0.00041675,0.00041675
2,270.796,0.89548,2.71778,1.15359,0.00337,0.80769,0.50348,0.30038,1.17826,3.70434,1.35605,0.000953163,0.000953163,0.000953163
3,289.051,0.97354,2.45206,1.23759,0.00392,0.92308,0.43645,0.2776,1.18474,3.59326,1.49234,0.00146757,0.00146757,0.00146757
4,294.971,1.31838,2.55879,1.4363,0.00314,0.76923,0.24597,0.08779,2.10091,4.29507,2.44516,0.00156798,0.00156798,0.00156798
5,303.086,1.11632,2.7482,1.40834,0.00315,0.75214,0.15792,0.0852,1.48994,3.95566,1.68027,0.00153497,0.00153497,0.00153497
6,313.795,1.02256,2.32749,1.2411,0.75553,0.11111,0.29288,0.14795,1.53487,4.03706,1.81555,0.00150197,0.00150197,0.00150197
7,325.123,1.1554,2.43474,1.34553,0.24468,0.32051,0.26912,0.12533,1.90731,4.49906,3.07714,0.00146896,0.00146896,0.00146896
8,1160.8,1.0141,2.09422,1.25505,0.56431,0.24786,0.24365,0.09705,1.83736,9.55431,3.26069,0.00143595,0.00143595,0.00143595
9,1206.77,0.96894,2.02673,1.26742,0.64086,0.2094,0.36866,0.19143,1.73161,10.3546,3.13684,0.00140295,0.00140295,0.00140295
10,1212.55,0.91132,2.03745,1.2049,0.29624,0.39316,0.18948,0.1014,1.86523,10.1426,3.3193,0.00136994,0.00136994,0.00136994
11,1218.21,0.97572,1.87963,1.21591,0.46277,0.37607,0.2342,0.1375,1.74166,12.5439,2.97115,0.00133693,0.00133693,0.00133693
12,1223.28,0.98429,1.89258,1.24081,0.42145,0.41132,0.28705,0.11729,1.74704,12.7789,3.21031,0.00130393,0.00130393,0.00130393
13,1228.43,0.93054,1.73188,1.16096,0.4156,0.31679,0.22863,0.13808,1.73082,6.4557,2.98782,0.00127092,0.00127092,0.00127092
14,1241.29,1.03042,1.79644,1.25647,0.5168,0.32051,0.22505,0.14613,1.74931,6.58475,2.25212,0.00123791,0.00123791,0.00123791
15,1253.53,0.87254,1.60418,1.15751,0.51061,0.30342,0.22056,0.14765,1.6162,6.81364,2.72556,0.00120491,0.00120491,0.00120491
16,1275.31,0.85679,1.63418,1.17611,0.45114,0.4497,0.28437,0.17016,1.45343,6.74865,2.51518,0.0011719,0.0011719,0.0011719
17,1330.52,0.89435,1.73053,1.12958,0.4566,0.32051,0.2828,0.13872,1.44322,6.46417,2.11596,0.00113889,0.00113889,0.00113889
